pdb_id,affinity
10gs,6.4
11gs,5.82
13gs,4.62
16pk,5.22
1a07,6.4
1a08,5.62
1a09,6.7
1a0t,1.3
1a1b,6.4
1a1c,6.4
1a1e,6.0
1a2c,6.3
1a37,6.92
1a3e,8.46
1a42,9.89
1a46,5.7
1a4g,8.4
1a4h,5.92
1a4q,5.44
1a4r,6.66
1a4w,5.92
1a50,6.7
1a5g,10.15
1a5v,3.1
1a61,8.62
1a7c,4.0
1a7t,1.64
1a7x,9.7
1a85,4.52
1a86,4.0
1a8i,5.52
1a8t,5.8
1a9m,6.92
1a9q,6.17
1aaq,8.4
1abt,5.85
1acj,8.09
1ad8,6.6
1adl,5.36
1ado,6.0
1af6,1.82
1afk,6.62
1afl,6.28
1ag9,9.0
1agm,12.0
1agw,4.7
1aht,6.21
1ahx,3.92
1ahy,3.36
1ai5,3.72
1ai6,3.97
1ai7,4.09
1aid,4.82
1aj6,5.92
1ajn,2.63
1ajp,2.23
1ajq,4.31
1ajx,7.91
1akq,9.1
1akr,9.09
1akt,8.49
1aku,6.13
1akv,11.59
1akw,8.59
1al7,7.8
1al8,5.32
1alw,6.52
1amk,4.3
1amn,13.82
1amw,4.54
1anf,5.46
1ao0,4.96
1ao8,8.22
1apv,9.0
1apw,8.0
1aq1,8.15
1aqc,5.34
1at5,4.19
1at6,4.07
1au0,7.66
1au2,7.89
1avd,15.0
1avn,3.9
1avp,7.92
1aw1,1.05
1awf,6.01
1awh,6.08
1awi,4.05
1axr,3.27
1axs,7.77
1ayu,9.15
1ayv,8.0
1aze,4.22
1azg,4.8
1azl,8.62
1azx,9.4
1b05,7.12
1b0f,7.7
1b0h,6.7
1b11,7.39
1b1h,7.03
1b2h,4.54
1b2i,5.51
1b2m,3.73
1b38,6.6
1b39,6.92
1b3g,6.7
1b3h,6.21
1b3l,5.89
1b40,7.28
1b46,5.28
1b4d,4.81
1b4h,5.46
1b4z,5.23
1b51,7.37
1b52,7.12
1b56,6.1
1b57,8.0
1b58,6.59
1b5g,8.0
1b5h,6.01
1b5i,7.05
1b5j,7.43
1b6j,7.92
1b6k,8.74
1b6l,8.3
1b6m,8.4
1b6p,8.52
1b7h,8.02
1b8n,10.52
1b8o,10.64
1b8y,7.85
1b9j,5.96
1b9s,3.18
1b9t,5.1
1b9v,3.65
1ba8,9.0
1bb0,8.36
1bbz,5.82
1bcd,8.7
1bdl,5.85
1bdq,6.34
1bdr,6.68
1bgo,8.46
1bgq,8.57
1bhx,6.84
1bil,9.3
1bim,8.92
1bio,5.54
1biw,6.98
1bjr,7.68
1bkj,6.77
1bkm,5.74
1bl4,8.74
1bm2,6.96
1bm6,7.89
1bm7,7.52
1bma,4.59
1bmb,6.15
1bmm,7.1
1bmn,8.44
1bmq,7.42
1bn4,9.31
1bnm,10.0
1bnn,10.0
1bnq,9.49
1bnu,9.7
1bnv,8.77
1bnw,9.08
1bo5,3.6
1bp0,5.4
1bq3,5.4
1bq4,5.22
1bqm,7.35
1bqn,6.22
1bqo,7.74
1br5,2.7
1br6,3.22
1br8,4.74
1bra,1.82
1bsk,4.12
1bt6,5.7
1btn,4.4
1bug,4.37
1bux,4.85
1bwa,8.6
1bwb,8.42
1bxl,6.47
1bxo,10.0
1bxr,3.4
1bzf,8.3
1bzh,6.77
1bzs,8.0
1c1u,8.25
1c1v,7.64
1c29,6.33
1c2t,6.59
1c3e,6.59
1c3i,5.8
1c3r,6.4
1c4u,10.37
1c4v,10.8
1c4y,7.92
1c50,6.48
1c5c,6.96
1c5f,6.07
1c5o,3.49
1c6y,9.51
1c70,10.3
1c7e,6.3
1c7f,9.52
1c83,4.85
1c84,5.0
1c85,4.64
1c86,4.7
1c87,4.2
1c88,5.29
1c8k,6.0
1c8l,8.16
1c8v,6.33
1c9d,6.3
1ca8,9.49
1caq,7.72
1cbr,9.4
1cbx,6.35
1cea,4.96
1cgl,6.87
1ci7,7.05
1cil,9.43
1cim,8.82
1cin,8.73
1ciz,7.44
1cj1,8.8
1clu,8.27
1cnw,7.72
1cnx,7.37
1cny,7.85
1cpi,7.41
1cps,6.66
1cqp,5.62
1cr6,8.51
1cs4,5.57
1csh,7.55
1csi,8.8
1csr,7.38
1css,6.1
1ctr,6.0
1cw2,6.15
1cwb,7.89
1cwc,7.8
1cx9,6.75
1cyn,7.68
1czc,2.82
1cze,2.62
1czq,4.54
1d09,7.57
1d1p,3.6
1d2e,6.0
1d2s,9.74
1d3d,9.09
1d3p,7.39
1d3q,6.54
1d4h,10.0
1d4i,8.85
1d4l,8.77
1d4p,6.3
1d4y,11.1
1d5j,9.15
1d5r,1.82
1d6s,4.11
1d7i,3.6
1d7j,3.3
1d7x,8.52
1d8f,7.74
1d8m,8.51
1d9i,9.11
1dar,4.96
1ddm,5.77
1det,4.3
1df8,9.7
1dfo,6.7
1dgm,5.05
1di8,6.0
1dif,10.66
1dis,11.0
1dm2,7.15
1dmb,5.74
1dmp,9.55
1dmt,8.7
1doj,8.96
1dpu,6.0
1dqx,11.05
1drj,7.4
1drk,6.82
1dtq,8.22
1dtt,8.3
1dub,5.8
1dud,4.82
1duv,11.8
1dwc,7.41
1dwd,8.18
1dx6,6.19
1dxp,7.57
1dzj,5.89
1dzk,6.1
1dzm,5.41
1dzp,5.44
1e00,6.1
1e02,6.15
1e03,9.4
1e06,5.6
1e1v,4.92
1e1x,5.89
1e1y,5.6
1e34,2.88
1e37,3.7
1e4h,8.41
1e5a,7.64
1e6s,3.22
1e72,3.22
1e8h,5.68
1e9h,7.46
1eas,7.74
1eat,7.82
1eb1,10.43
1ebg,10.82
1ebw,9.05
1ebz,9.4
1ec1,8.92
1ec2,10.0
1ec3,9.04
1ec9,3.1
1eed,4.79
1eef,2.92
1eei,3.15
1efi,1.92
1efy,8.22
1egh,5.7
1eix,11.06
1ej4,7.3
1ek1,7.77
1ek2,8.2
1ekb,6.0
1ela,6.36
1elc,6.66
1eld,6.7
1ele,6.85
1elr,4.96
1els,10.82
1em6,8.22
1ent,6.96
1eoc,6.05
1eoj,13.77
1eol,13.42
1eou,7.44
1epo,7.96
1epp,7.16
1epq,8.19
1erb,8.1
1err,8.11
1ets,8.22
1ett,5.89
1etz,7.24
1eve,8.24
1evh,3.22
1ew8,2.26
1ew9,3.22
1exv,7.35
1exw,3.9
1ez9,5.1
1ezq,9.05
1f0q,6.0
1f0r,7.66
1f0s,7.74
1f28,7.8
1f40,6.0
1f47,4.67
1f4e,2.96
1f4f,4.62
1f4x,5.59
1f4y,6.08
1f57,5.64
1f90,7.92
1f9g,1.28
1fax,7.39
1fbm,6.22
1fcx,7.19
1fcy,8.52
1fcz,9.22
1fd7,1.85
1fgi,5.0
1fh7,5.24
1fh8,6.89
1fh9,6.43
1fhr,4.0
1fig,6.22
1fiv,6.59
1fj4,4.59
1fjs,9.96
1fkb,9.7
1fkf,9.4
